imdb_id,poster_path,wiki_link,original_title,tag
tt0158534,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/TheBurningTrain.jpg/220px-TheBurningTrain.jpg,https://en.wikipedia.org/wiki/The_Burning_Train,The Burning Train,action thriller dharmendra vinodkhanna jeetendra vinodmehra hemamalini a dedic railway employee' plan to introduc an express train result in sabotage.
tt0081605,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/TaxiChorMithun.JPG/220px-TaxiChorMithun.JPG,https://en.wikipedia.org/wiki/Taxi_Chor,Taxi Chor,crime thriller indirabansal masterbhagwan abhibhattacharya bharatbhushan mithunchakraborty rajesh is a small time crook he chang hi name to rakesh for other crimes. reetesh lookalik of rakesh ha to face the law.
tt0081219, ,https://en.wikipedia.org/wiki/The_Naxalites_(1980_film),The Naxalites,drama jalalagha saleemchristopheragha shehnazanand tinnuanand mithunchakraborty a dramat account of the naxalit movement focus on the averag indian who join the movement from variou walk of life and from variou region background faith etc.
tt0081624,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Thodisi_Bewafaii.jpg/220px-Thodisi_Bewafaii.jpg,https://en.wikipedia.org/wiki/Thodisi_Bewafaii,Thodisi Bewafaii,drama rajeshkhanna shabanaazmi siddharth padminikolhapure devenverma arvind kumar choudhari is widow respect and wealthi businessman who live with hi onli son arun in a palati house. he re-marri anoth woman sujata who is a widow with two...
tt0388499,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Unees-Bees.jpg/220px-Unees-Bees.jpg,https://en.wikipedia.org/wiki/Unees-Bees,Unees-Bees,drama yogeetabali ritabhaduri urmilabhatt bharatbhushan mithunchakraborty sibl get separ in childhood. after year they face each other as rivals.
tt0081783, ,https://en.wikipedia.org/wiki/Yari_Dushmani,Yari Dushmani,action drama sunildutt reenaroy amjadkhan daljitkaur  shankar and birju grew up on the footpath togeth like orphans. they knew onli the principl of friendship. they both met pammi who wa in the clutch of a ruthless man call jumbo. ...
tt0178177,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Aakhri_Kasam.jpg/220px-Aakhri_Kasam.jpg,https://en.wikipedia.org/wiki/Aakhri_Kasam,Aakhri Kasam,action thriller vinodmehra yogeetabali kabirbedi priyadarshini  the evil zamindar of a small villag ha hi lust eye on the beauti wife of jagga a labour who also ha a small son. he ha her brought in by one of hi men and ha her rape ...
tt0178210,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Aatish_%28film%29.jpeg/220px-Aatish_%28film%29.jpeg,https://en.wikipedia.org/wiki/Aatish_(film),Aatish,action jeetendra neetusingh dheerajkumar sujitkumar niruparoy mr. rai is a wealthi businessman in jammu india and live in a palati hous with hi wife shobha a wheelchair-bound daughter ashu a grown son rakesh and a school-go son raju. ...
tt0078738, ,https://en.wikipedia.org/wiki/Ahimsa_(1979_film),Ahinsa,action drama sunildutt rekha ranjeet rajendranath premnath ahimsa in sanskrit mean non-violence. a chanc encount between two widow who lost their husband and son to violenc set the stori going. birju (sunil dutt) ha receiv the highest ...
tt0078739,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Ahsaas.jpg/220px-Ahsaas.jpg,https://en.wikipedia.org/wiki/Ahsaas,Ahsaas,drama romance shashikapoor simigarewal rakeshbedi chandusmani amjadkhan sudarshan sahni would like hi son raju to marri hi europe-bas friend' daughter rita but raju is in love with anu and both plan to marri each other. anu' dad pradeep rai choudhry...
tt0078761,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Amar_Deep.jpg/220px-Amar_Deep.jpg,https://en.wikipedia.org/wiki/Amar_Deep_(1979_film),Amar Deep,drama romance rajeshkhanna vinodmehra shabanaazmi devenverma roopeshkumar raja wa adopt by a crimin don (ashok kumar) at a veri young age. after the death of the don raja inherit the properti and refrain from crime. howev the wealth and the power ...
tt0252247, ,https://en.wikipedia.org/wiki/Aur_Kaun%3F,Aur Kaun?,horror padminikapila roopeshkumar madanpuri sachin vimalsahu raj live a wealthi lifestyl and is in love with hi colleg sweetheart kamal he is seduc by and elderli woman mona who come to work in hi hous as a teacher mona is soon found dead in raj' bedroom and her spirit start to haunt him
tt0237021,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Bagula_Bhagat.jpg/220px-Bagula_Bhagat.jpg,https://en.wikipedia.org/wiki/Bagula_Bhagat,Bagula Bhagat,action thriller ashokkumar shatrughansinha shabanaazmi kaminikaushal mehmoodjr. add a plot »
tt0157339,https://upload.wikimedia.org/wikipedia/en/0/0f/BatonBatonMein_Poster.jpg,https://en.wikipedia.org/wiki/Baton_Baton_Mein,Baton Baton Mein,comedy romance amolpalekar tinaambani asrani davidabraham leelamishra toni and nanci daili board 9:10 bandra to churchgat local.n is accompani by her uncl tom who develop friendship with toni and introduc both of them.nancy' mother rosi want her...
tt2710158,https://upload.wikimedia.org/wikipedia/en/b/be/Bhayaanakmithun.jpg,https://en.wikipedia.org/wiki/Bhayaanak,Bhayaanak,horror mithunchakraborty chandrashekhar ranjangrewal madanjoshi ranjeetakaur peopl of mangalpur die in a bizarr pattern. inspector vijay is appoint to reveal the truth behind the mystery.
tt0379253,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Dhongee.jpg/220px-Dhongee.jpg,https://en.wikipedia.org/wiki/Dhongee,Dhongee,action comedy drama randhirkapoor neetusingh asrani faridajalal sujitkumar add a plot »
tt0315292,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Bin_Phere_Hum_Tere.jpg/220px-Bin_Phere_Hum_Tere.jpg,https://en.wikipedia.org/wiki/Bin_Phere_Hum_Tere,Bin Phere Hum Tere,drama family ashaparekh vinodmehra sarika nazneen kamalkapoor jamuna live a poor lifestyl in gangapur with her widow step-mother. she is of marriag age but instead of get her marri she is sold to her matern uncl mukand bihari who...
tt0231416,https://upload.wikimedia.org/wikipedia/en/3/3b/Dadamovie.jpg,https://en.wikipedia.org/wiki/Dada_(1979_film),Dada,action drama family vinodmehra bindiyagoswami jeevan amjadkhan jagdeep after wealthi dharamda marri tara they are bless with a son moti but hi busi suffers. hi assist bihari convinc him that hi wife is respons for hi bad luck and as a...
tt0215717,https://upload.wikimedia.org/wikipedia/en/5/5e/Dil_Kaa_Heera.jpg,https://en.wikipedia.org/wiki/Dil_Kaa_Heera,Dil Kaa Heera,drama dharmendra hemamalini sachin abhibhattacharya prakashgill after the pass away of hi wife sudha widow rajat sharma look after their onli child munna as well as hi younger college-go brother kundan. he work as a custom offic at ...
tt0157545, ,https://en.wikipedia.org/wiki/Do_Ladke_Dono_Kadke,Do Ladke Dono Kadke,comedy crime drama navinnischol amolpalekar moushumichatterjee asrani keshtomukherjee two petti thiev decid to rob a hous that kidnapp had decid to kidnap a child from what result is chao as the child end up with the petti thiev and both the thiev & the ...
tt0367661, ,https://en.wikipedia.org/wiki/Do_Shikaari,Do Shikaari,action adventure drama vinodkhanna rekha biswajitchatterjee amjadkhan jogindershelly seek the treasur locat in solomon' mine in the heart of africa zorro (amjad khan) abduct and hold sunita' (rekha) father as ransom and forc her to journey to africa to find ...
tt0156485,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Dooriyaanfilm.jpg/220px-Dooriyaanfilm.jpg,https://en.wikipedia.org/wiki/Dooriyaan,Dooriyaan,drama family uttamkumar sharmilatagore shreeramlagoo  a stori of an ambiti work couple' marit discord and the impact on their child.
tt0357621,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Duniya_Meri_Jeb_Mein.jpg/220px-Duniya_Meri_Jeb_Mein.jpg,https://en.wikipedia.org/wiki/Duniya_Meri_Jeb_Mein,Duniya Meri Jeb Mein,action thriller shashikapoor rishikapoor neetusingh keshtomukherjee  a student in a prestigi colleg vishal khanna believ he live a wealthi lifestyl along with hi businessman brother karan. vishal meet with and fall in love with neeta the onli ...
tt0214707,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/GautamGovindafilm.png/220px-GautamGovindafilm.png,https://en.wikipedia.org/wiki/Gautam_Govinda,Gautam Govinda,action crime drama shashikapoor shatrughansinha moushumichatterjee vijayarora arunairani impress with the dedic shown by polic inspector gautam the commission of polic assign him to polic a lawless town which is over-run by crimin and where no polic offic ...
tt0324977,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Allauddinum_Albhutha_Vilakkum.jpg/220px-Allauddinum_Albhutha_Vilakkum.jpg,https://en.wikipedia.org/wiki/Aladdin_and_the_Wonderful_Lamp_(1979_film),Alavuddinum Athbutha Vilakkum,adventure drama fantasy kamalhaasan rajinikanth jayabharati sripriya geminiganesan kamaruddin the command of the arm forc of baghdad ha design on princess roshni the heiress to the kingdom as her husband will rule the land after the caliph' death. roshni ...
tt0079221,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Golmal_Poster.jpg/220px-Golmal_Poster.jpg,https://en.wikipedia.org/wiki/Gol_Maal,Gol Maal,comedy romance amolpalekar bindiyagoswami devenverma shubhakhote manjusingh a man' simpl lie to secur hi job escal into more complex lie when hi orthodox boss get suspicious.
tt0165805,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Gopal_Krishna.jpg/220px-Gopal_Krishna.jpg,https://en.wikipedia.org/wiki/Gopal_Krishna_(1979_film),Gopal Krishna,fantasy sachin zarinawahab manherdesai mastersandeep ritabhaduri mathura is rule by kansa who claim the throne by kill off seven of hi nephews. the eighth child wa whisk away to safeti and grow up to becom lord krishna.
tt0079236,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/The_Great_Gambler_1979.jpg/220px-The_Great_Gambler_1979.jpg,https://en.wikipedia.org/wiki/The_Great_Gambler,The Great Gambler,action crime romance amitabhbachchan zeenataman neetusingh premchopra utpaldutt jai (amitabh bachchan) is an expert gambler and ha been so as long as he can rememb and ha never lost a game. these skill bring him to the attent of the underworld don saxena (...
tt0156581,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Griha_Pravesh.jpg/220px-Griha_Pravesh.jpg,https://en.wikipedia.org/wiki/Griha_Pravesh,Griha Pravesh,drama sanjeevkumar sharmilatagore sarika masterbittoo sudhachopra amar and mansi meet through their respect famili and have an arrang marriage. amar a book-keep is veri thrifti intend to save money so that they can buy their veri own flat ...
tt0079263,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/HamaareTumhaare.png/220px-HamaareTumhaare.png,https://en.wikipedia.org/wiki/Hamare_Tumhare,Hamare Tumhare,family sanjeevkumar rakheegulzar amjadkhan premkrishan radhikasarathkumar widow jairaj verma live with hi four son in a small apartment. three of hi son are in their teen while hi youngest son is around 12 years. on the other hand there is maya sinha a...
tt0242504,https://upload.wikimedia.org/wikipedia/en/3/33/Har_Har_Gange.jpg,https://en.wikipedia.org/wiki/Har_Har_Gange,Har Har Gange,adventure drama fantasy neera ashishkumar anjanamumtaz vikramgokhale jayshreegadkar distraught after the death of hi wife sati shiva isol himself and becom immers in deep meditation. prompt by the evil paap (sin) to capit on the opportun the demon ...
